"refID","PhotoID","site","date","sighting","timestamp"
"UNMATCHED","FAR18091112","FAR","2018-09-11","12","1537886769"
"refID","PhotoID","site","date","sighting","timestamp"
"UNMATCHED","FAR18090512","FAR","2018-09-05","12","1537886784"
"refID","PhotoID","site","date","sighting","timestamp"
"UNMATCHED","PR18092500","PR","2018-09-25","00","1537897560"
"refID","PhotoID","site","date","sighting","timestamp"
"UNMATCHED","PR18092500","PR","2018-09-25","00","1537897822"
"refID","PhotoID","site","date","sighting","timestamp"
"UNMATCHED","FAR18091200","FAR","2018-09-12","00","1537901083"
